"IQNOMY Connector","IQNOMY Connector"
"IQNOMY Extension","IQNOMY Extensie"
"IQNOMY Extension version %s","IQNOMY Extension versie %s"
"Extension","Extensie"
"Synchronize","Synchroniseer"
"Configure","Configureer"
"Successfully synchronized dimensions: %s","Dimensies succesvol gesynchroniseerd: %s"
"Failed synchronizing dimensions: %s","Fout tijdens synchronisatie van dimensies: %s"
"Error during synchronization: %s","Fout tijdens synchronisatie: %s"
"IQNOMY Account","IQNOMY account"
"Environment","Omgeving"
"Live (production)","Live (productie)"
"Test","Test"
"Username","Gebruikersnaam"
"IQNOMY Account ID","IQNOMY Account ID"
"Usually your email address","Gewoonlijk uw e-mailadres"
"Webservice Key","Webservice key"
"Enable Logging","Logboek inschakelen"
"Writes to: var/log/iqnomy.log","Schrijft naar: var/log/iqnomy.log"
"Dimension","Dimensie"
"Dimensions","Dimensies"
"Dimensions are used to recognize your visitors interests. You can use these to personalize your content. Make sure to select the dimensions that are revelant for you. For more information go to <a href=""%s"" target=""_blank"">support.iqnomy.com</a>","Dimensies worden gebruik om de interesses van uw bezoekers te herkennen. U kunt ze gebruiken om uw content te personaliseren. Zorg dat u relevante dimensies selecteert. Voor meer informatie gaat u naar <a href=""%s"" target=""_blank"">support.iqnomy.com</a>"
"The attributes configured here are treated as IQNOMY dimensions. After changing these, you should synchronize via <a href=""%s"">Customers, IQNOMY Connector</a>.","De attributen die hier geconfigureerd zijn worden behandeld als IQNOMY dimensies. Nadat u hier wijzigingen in aanbrengt, moet u synchroniseren via <a href=""%s"">Klanten, IQNOMY Connector</a>."
"Product Dimensions","Productdimensies"
"Automatic","Automatisch"
"Custom","Aangepast"
"Selected Product Dimensions","Geselecteerde productdimensies"
"Use Ctrl+click to toggle individual items.","Gebruik Ctrl+klik om afzonderlijke items in/uit te schakelen."
"Tracking","Tracking"
"Ignore Do-Not-Track","Negeer Do-Not-Track"
"Containers", "Containers"
"Below u can add your container IDs. These are the containers you created in your <a href=""%s"" target=""_blank"">IQNOMY-account.</a>","Hieronder kunt u uw container IDs toevoegen. Deze containers heeft u aangemaakt in uw <a href=""%s"" target=""_blank"">IQNOMY-account.</a>"
"There are no containers added yet.","Er zijn nog geen containers toegevoegd."
"Remove?","Verwijderen?"
"New container ID","Nieuw container ID"
"Container ID","Container ID"
"Name","Naam"
"Add container","Container toevoegen"
"HTML-id","HTML-id"
"Enter the HTML-id of the HTML-element in which the liquid content should be placed.","Geef hier het HTML-id van het HTML-element waarin de liquid content geplaatst moet worden."
"Container","Container"
"Select which IQNOMY-container is linked to this case.","Selecteer welke IQNOMY-container gekoppeld is aan deze case."
"Active on pages","Actief op pagina's."
"Pages","Pagina's"
"Page URLs","Pagina URLs"
"Regular expression","Regular expression"
"Here you can enter a regular expression (PERL-style) on which the URL has to match.","Uw kunt hier een reguliere expressie (PERL-stijl) opgeven waaraan de URL moet voldoen."
"The liquid internet case could not be saved.","Het opslaan van de liquid internet case is mislukt"
"The liquid internet case has been saved.","De liquid internet case is opgeslagen."
"No data was found to save.","Er zijn geen gegevens gevonden om op te slaan."
"The liquid internet case does not exist.","De liquid internet case bestaat niet."
"Liquid internet cases cannot be added while there are no containers.","Om een liquid internet case aan te maken moeten er eerst containers aanwezig zijn."
"The liquid internet case has been removed.","De liquid internet case is verwijderd."
"Check on pages","Controller op pagina's"
"All pages","Alle pagina's"
"Regular expression","Reguliere expressie"
"Container data","Container gegevens"
"Container ID","Container ID"
"Enter your IQNOMY-container ID.","Vul hier uw IQNOMY-container ID in."
"Edit container","Bewerk container"
"New container","Nieuwe container"
"This container ID allready exists.","Dit container ID bestaat al."
"Select at least one page from the list.","Selecteer minimaal één pagina uit de lijst."
"Enter at least one page URL.","Geef tenminste één pagina aan."
"Enter a valid regular expression.","Geef een geldige reguliere expressie op."
"Saving the container failed.","Het opslaan van de container is mislukt"
"The container has been saved.","De container is opgeslagen."
"The container does not exist.","De container bestaat niet."
"The container has been deleted.","De container is verwijderd."
"Enabled?", "Ingeschakeld?"
"The given HTML-ID is allready registered.","Het opgegeven HTML-ID is al in gebruik."
"General","Algemeen"
"Matching","Matching"
"Not category bound","Niet categorie gebonden"
"Use second-level categories.","Gebruik tweede-niveau categorieen."
"Data","Data"
"Content image (.jpg, .jpeg, .gif, .png)","Inhoud afbeelding (.jpg, .jpeg, .gif, .png)"
"Content","Inhoud"
"URL","URL"
"Enter the page where the user should go when clicked on the content.","Geef hier op naar welke pagina de gebruiker moet gaan als er op de content geklikt wordt."
"Animation","Animatie"
"Animation type","Animatie type"
"Pause time","Pauze tijd"
"The time, in milliseconds, until the next content should be shown.", "De tijd, in milliseconden, tot dat de volgende content getoond moet worden."
"Sliding","Sliding"
"Fading","Fading"
"The liquid content has been deleted.","De liquid content is verwijderd."
"The liquid content does not exist.","De liquid content is niet gevonden."
"The liquid content has been saved.","De liquid content is opgeslagen."
"Saving the liquid content failed.","Het opslaan van de liquid content is mislukt."
"Edit liquid content","Liquid content aanpassen"
"New liquid content","Liquid content toevoegen"
"Height","Hoogte"
"Enter the height in pixels. This height is required to avoid screen flashes.","Vul de hoogte in pixels in. Deze hoogte is nodig om te voorkomen dat het scherm flitst."
"IQNOMY container-ID","IQNOMY container-ID"
"milliseconds","milliseconden"
"Animation duration","Animatie lengte"
"Enter the animation duration in milliseconds.","Vul de animatie lengte in milliseconden in."
"Link","Link"
"IQNOMY-environment content","IQNOMY-omgeving content"
"IQNOMY data template","IQNOMY data template"
"Add the following data to the liquid content in the IQNOMY-environment.","Voeg het volgende toe aan de liquid content in de IQNOMY-omgeving."
"Is also used as URL title.","Wordt ook gebruikt als URL titel."
"Category depth","Categorie diepte"
"Enter the depth of categories that should be tracked. For example: 1 means only first level categories, 2 means first and second level categories, etc.","Geef aan welke categorie-niveaus gevolgt moeten worden. Als voorbeeld: 1 betekend alleen hoofdcategorieen, 2 betekend hoofdcategorieen en sub-categorieen, etc."
"first","eerste"
"second","tweede"
"third","derde"
"fourth","vierde"
"fifth","vijfde"
"sixth","zesde"
"seventh","zevende"
"eighth","achtste"
"ninth","negende"
"tenth","tiende"
"-level category","-niveau categorie"
"An error occurred while loading the liquid internet cases.","Er is een fout opgetreden tijdens het ophalen van de liquid internet cases."
"Y-m-d","d-m-Y"
"Active between","Actief tussen"
"Active from","Actief vanaf"
"Active till","Actief tot en met"
"Escalation type","Escalatie methode"
"Selection methods","Selectie methodes"
"Enter the factor for each selection method in %. The total should be 100%","Geef de factor in % op per selectie methode. De factoren moeten in totaal 100% vormen."
"An error occurred while loading the containers.","Er is een fout opgetreden tijdens het ophalen van de containers."
"None","Geen"
"An error occurred while loading the liquid contents.","Er is een fout opgetreden tijdens het ophalen van de liquid contents."
"Liquid contents","Liquid contents"
"Add liquid content","Liquid content toevoegen"
"Select an valid container.","Selecteer een container."
"The till date should be later than the from date.","De tot en met datum moet later zijn dan de vanaf datum."
"The content URL is not valid.","De opgegeven URL is niet geldig."
"The pause time has to be greater than 0.","De pauze tijd moet groter dan 0 zijn."
"Select a valid image.","Selecteer een afbeelding."
"An error occurred while saving the liquid content.","Er is een fout opgetreden tijdens het opslaan van de liquid content"
"A factor should be greater or equal to 0.","Een factor moet groter of gelijk aan 0 zijn."
"The factors together should be 100%.","De factoren moeten in totaal 100% zijn."
"At least one page should be defined.","Er moet minimaal één pagina opgegeven worden."
"One of the page URLs is not valid.","Een van de pagina URLs is niet geldig."
"The maximum results for an page should be greater than 0.","Het maximale aantal resultaten van een pagina moeten grote dan 0 zijn."
"The page URLs should be unique within this container.","De pagina URLs moeten uniek zijn binnen deze container."
"An error occurred while saving the container. Warning: Make sure that all the page URLs have been tracked at least once.","Er is een fout opgetreden tijdens het opslaan van de container. Waarschuwing: Houd er rekening mee dat alle pagina URLs minimaal één keer bekend gemaakt moeten zijn bij IQNOMY."
"The liquid content could not be removed.","De liquid content kon niet worden verwijderd."
"The container could not be removed.","De container kon niet worden verwijderd."
"ID","ID"
"Image","Afbeelding"
"Action","Actie"
"No liquid contents found.","Geen liquid content gevonden."
"Edit","Wijzigen"
"No containers found.","Geen containers gevonden."
"Page URL","Pagina URL"
"Maximal amount of results.","Maximaal aantal resulaten."
"Add page","Pagina toevoegen"
"No liquid internet cases found.","Geen liquid internet cases gevonden."
"Title","Titel"
'You can use ${title} in your HTML code to view the title.','Om dit veld in de HTML code te gebruiken, kan ${title} gebruikt worden.'
'You can use ${imageUrl} in your HTML code to use this field.','Om dit veld in de HTML code te gebruiken, kan ${imageUrl} gebruikt worden.'
'You can use ${url} in your HTML code to use this field.','Om dit veld in de HTML code te gebruiken, kan ${url} gebruikt worden.'
"HTML code","HTML code"
"Enter the time, in milliseconds, for how long the liquid content should be shown until it animates to the next liquid content.","Vul de tijd, in milliseconden, in voor hoelang de liquid content getoond moet worden totdat het animeert naar de volgende liquid content."
"Select the way of showing the matching liquid content.","Selecteer op welke manier de matchende liquid contents getoond moeten worden."
"Show the liquid contents next to eachother.","Toon de liquid contents naast elkaar."
"Slide through the liquid contents.","Toon de liquid contents door middel van een slide animatie."
"Fade through the liquid contents.","Toon de liquid contents door middel van een fade animatie."
"Connector","Connector"
"Impressions","Impressies"
"Add liquid internet case","Liquid internet case toevoegen"
"New liquid internet case","Nieuwe liquid internet case"
"Edit liquid internet case","Liquid internet case wijzigen"
"Impression","Impressie"
"Placement","Plaatsing"
"In this table you can see all subscribers that subscribed through the IQNOMY-popup.","In deze tabel kunt u alle nieuwsbrief leden zien die lid zijn geworden via de IQNOMY-popup."
"Subscribers","Nieuwsbrief leden"
"No subscribers found.","Geen leden gevonden."
"Copy","Kopieer"
"N/A","N.V.T."
"This product is linked with one or more liquid contents, updating these liquid contents failed.","Dit product is gekoppeld aan een of meerdere liquid contents, het opslaan van deze liquid contents is mislukt."
